GP,W,L,PLAYOFF RECORD,TEAM,PLAYOFF WINS,PLAYOFF LOSSES,PLAYOFF GAMES,PLAYOFF PERCENTAGE,WIN%
82,44,38,0,Golden State Warriors,5,5,10,0.50,0.537
82,53,29,10,Golden State Warriors,16,6,22,0.73,0.646
72,39,33,0,Golden State Warriors,0,0,0,0.00,0.542
65,15,50,0,Golden State Warriors,0,0,0,0.00,0.231
82,57,25,6,Golden State Warriors,14,8,22,0.64,0.695
82,58,24,11,Golden State Warriors,16,5,21,0.76,0.707
82,67,15,15,Golden State Warriors,16,1,17,0.94,0.817
82,73,9,6,Golden State Warriors,15,9,24,0.63,0.89
82,67,15,11,Golden State Warriors,16,5,21,0.76,0.817
82,51,31,-1,Golden State Warriors,3,4,7,0.43,0.622
82,47,35,0,Golden State Warriors,6,6,12,0.50,0.573
66,23,43,0,Golden State Warriors,0,0,0,0.00,0.348
82,36,46,0,Golden State Warriors,0,0,0,0.00,0.439
82,26,56,0,Golden State Warriors,0,0,0,0.00,0.317
82,29,53,0,Golden State Warriors,0,0,0,0.00,0.354
82,48,34,0,Golden State Warriors,0,0,0,0.00,0.585
82,42,40,-1,Golden State Warriors,5,6,11,0.45,0.512
82,34,48,0,Golden State Warriors,0,0,0,0.00,0.415
82,34,48,0,Golden State Warriors,0,0,0,0.00,0.415
82,37,45,0,Golden State Warriors,0,0,0,0.00,0.451
82,38,44,0,Golden State Warriors,0,0,0,0.00,0.463
82,21,61,0,Golden State Warriors,0,0,0,0.00,0.256
82,17,65,0,Golden State Warriors,0,0,0,0.00,0.207
82,19,63,0,Golden State Warriors,0,0,0,0.00,0.232
50,21,29,0,Golden State Warriors,0,0,0,0.00,0.42
82,19,63,0,Golden State Warriors,0,0,0,0.00,0.232
82,30,52,0,Golden State Warriors,0,0,0,0.00,0.366
82,36,46,0,Golden State Warriors,0,0,0,0.00,0.439
82,26,56,0,Golden State Warriors,0,0,0,0.00,0.317
82,50,32,-3,Golden State Warriors,0,3,3,0.00,0.61
82,34,48,0,Golden State Warriors,0,0,0,0.00,0.415
82,55,27,-2,Golden State Warriors,1,3,4,0.25,0.671
82,44,38,-1,Golden State Warriors,4,5,9,0.44,0.537
82,37,45,0,Golden State Warriors,0,0,0,0.00,0.451
82,43,39,0,Golden State Warriors,4,4,8,0.50,0.524
82,20,62,0,Golden State Warriors,0,0,0,0.00,0.244
82,42,40,-2,Golden State Warriors,4,6,10,0.40,0.512
82,30,52,0,Golden State Warriors,0,0,0,0.00,0.366
82,22,60,0,Golden State Warriors,0,0,0,0.00,0.268
82,37,45,0,Golden State Warriors,0,0,0,0.00,0.451
82,30,52,0,Golden State Warriors,0,0,0,0.00,0.366
82,45,37,0,Golden State Warriors,0,0,0,0.00,0.549
82,39,43,0,Golden State Warriors,0,0,0,0.00,0.476
