SEASON,GP,W,L,PLAYOFF RECORD,TEAM
2022,82,44,38,0,Golden State Warriors
2021,82,53,29,10,Golden State Warriors
2020,72,39,33,0,Golden State Warriors
2019,65,15,50,0,Golden State Warriors
2018,82,57,25,6,Golden State Warriors
2017,82,58,24,11,Golden State Warriors
2016,82,67,15,15,Golden State Warriors
2015,82,73,9,6,Golden State Warriors
2014,82,67,15,11,Golden State Warriors
2013,82,51,31,-1,Golden State Warriors
2012,82,47,35,0,Golden State Warriors
2011,66,23,43,0,Golden State Warriors
2010,82,36,46,0,Golden State Warriors
2009,82,26,56,0,Golden State Warriors
2008,82,29,53,0,Golden State Warriors
2007,82,48,34,0,Golden State Warriors
2006,82,42,40,-1,Golden State Warriors
2005,82,34,48,0,Golden State Warriors
2004,82,34,48,0,Golden State Warriors
2003,82,37,45,0,Golden State Warriors
2002,82,38,44,0,Golden State Warriors
2001,82,21,61,0,Golden State Warriors
2000,82,17,65,0,Golden State Warriors
1999,82,19,63,0,Golden State Warriors
1998,50,21,29,0,Golden State Warriors
1997,82,19,63,0,Golden State Warriors
1996,82,30,52,0,Golden State Warriors
1995,82,36,46,0,Golden State Warriors
1994,82,26,56,0,Golden State Warriors
1993,82,50,32,-3,Golden State Warriors
1992,82,34,48,0,Golden State Warriors
1991,82,55,27,-2,Golden State Warriors
1990,82,44,38,-1,Golden State Warriors
1989,82,37,45,0,Golden State Warriors
1988,82,43,39,0,Golden State Warriors
1987,82,20,62,0,Golden State Warriors
1986,82,42,40,-2,Golden State Warriors
1985,82,30,52,0,Golden State Warriors
1984,82,22,60,0,Golden State Warriors
1983,82,37,45,0,Golden State Warriors
1982,82,30,52,0,Golden State Warriors
1981,82,45,37,0,Golden State Warriors
1980,82,39,43,0,Golden State Warriors
1979,82,24,58,0,Golden State Warriors
1978,82,38,44,0,Golden State Warriors
1977,82,43,39,0,Golden State Warriors
1976,82,46,36,0,Golden State Warriors
1975,82,59,23,1,Golden State Warriors
1974,82,48,34,7,Golden State Warriors
1973,82,44,38,0,Golden State Warriors
2022,82,33,49,0,Portland Trail Blazers
2021,82,27,55,0,Portland Trail Blazers
2020,72,42,30,-2,Portland Trail Blazers
2019,74,35,39,-3,Portland Trail Blazers
2018,82,53,29,0,Portland Trail Blazers
2017,82,49,33,-4,Portland Trail Blazers
2016,82,41,41,-4,Portland Trail Blazers
2015,82,44,38,-1,Portland Trail Blazers
2014,82,51,31,-3,Portland Trail Blazers
2013,82,54,28,-1,Portland Trail Blazers
2012,82,33,49,0,Portland Trail Blazers
2011,66,28,38,0,Portland Trail Blazers
2010,82,48,34,-2,Portland Trail Blazers
2009,82,50,32,-2,Portland Trail Blazers
2008,82,54,28,-2,Portland Trail Blazers
2007,82,41,41,0,Portland Trail Blazers
2006,82,32,50,0,Portland Trail Blazers
2005,82,21,61,0,Portland Trail Blazers
2004,82,27,55,0,Portland Trail Blazers
2003,82,41,41,0,Portland Trail Blazers
2002,82,50,32,-1,Portland Trail Blazers
2001,82,49,33,-3,Portland Trail Blazers
2000,82,50,32,-3,Portland Trail Blazers
1999,82,59,23,4,Portland Trail Blazers
1998,50,35,15,1,Portland Trail Blazers
1997,82,46,36,-2,Portland Trail Blazers
1996,82,49,33,-2,Portland Trail Blazers
1995,82,44,38,-1,Portland Trail Blazers
1994,82,44,38,-3,Portland Trail Blazers
1993,82,47,35,-2,Portland Trail Blazers
1992,82,51,31,-2,Portland Trail Blazers
1991,82,57,25,5,Portland Trail Blazers
1990,82,63,19,2,Portland Trail Blazers
1989,82,59,23,3,Portland Trail Blazers
1988,82,39,43,-3,Portland Trail Blazers
1987,82,53,29,-2,Portland Trail Blazers
1986,82,49,33,-2,Portland Trail Blazers
1985,82,40,42,-2,Portland Trail Blazers
1984,82,42,40,-1,Portland Trail Blazers
1983,82,48,34,-1,Portland Trail Blazers
1982,82,46,36,-1,Portland Trail Blazers
1981,82,42,40,0,Portland Trail Blazers
1980,82,45,37,-1,Portland Trail Blazers
1979,82,38,44,-1,Portland Trail Blazers
1978,82,45,37,-1,Portland Trail Blazers
1977,82,58,24,-2,Portland Trail Blazers
1976,82,49,33,9,Portland Trail Blazers
1975,82,37,45,0,Portland Trail Blazers
1974,82,38,44,0,Portland Trail Blazers
1973,82,27,55,0,Portland Trail Blazers
2022,82,43,39,3,Los Angeles Lakers
2021,82,33,49,0,Los Angeles Lakers
2020,72,42,30,-2,Los Angeles Lakers
2019,71,52,19,11,Los Angeles Lakers
2018,82,37,45,0,Los Angeles Lakers
2017,82,35,47,0,Los Angeles Lakers
2016,82,26,56,0,Los Angeles Lakers
2015,82,17,65,0,Los Angeles Lakers
2014,82,21,61,0,Los Angeles Lakers
2013,82,27,55,0,Los Angeles Lakers
2012,82,45,37,-4,Los Angeles Lakers
2011,66,41,25,-2,Los Angeles Lakers
2010,82,57,25,-2,Los Angeles Lakers
2009,82,57,25,9,Los Angeles Lakers
2008,82,65,17,9,Los Angeles Lakers
2007,82,57,25,7,Los Angeles Lakers
2006,82,42,40,-3,Los Angeles Lakers
2005,82,45,37,-1,Los Angeles Lakers
2004,82,34,48,0,Los Angeles Lakers
2003,82,56,26,4,Los Angeles Lakers
2002,82,50,32,0,Los Angeles Lakers
2001,82,58,24,11,Los Angeles Lakers
2000,82,56,26,14,Los Angeles Lakers
1999,82,67,15,7,Los Angeles Lakers
